timestamp_utc,regime,size,expected_net_pnl_bps
2024-08-05 03:55:00+00:00,transient,0.15,0.056942819758698936
2024-08-05 03:55:00+00:00,transient,0.2,0.0759207745978474
2024-08-05 03:55:00+00:00,transient,0.25,0.0948876009970096
2024-08-05 03:55:00+00:00,transient,0.3,0.11384908049605202
2024-08-05 03:55:00+00:00,transient,0.35,0.13280521309497456
2024-08-05 03:55:00+00:00,transient,0.4,0.1517559987937773
2024-08-05 03:55:00+00:00,transient,0.45,0.17066029630727383
2024-08-05 03:55:00+00:00,transient,0.5,0.1895501044128315
2024-08-05 03:55:00+00:00,transient,0.55,0.20842542311045004
2024-08-05 03:55:00+00:00,transient,0.6,0.22728625240012967
2024-08-05 03:55:00+00:00,transient,0.65,0.24589433811523279
2024-08-05 03:55:00+00:00,transient,0.7,0.26445127993522205
2024-08-05 03:55:00+00:00,transient,0.75,0.28295707786009716
2024-08-05 03:55:00+00:00,transient,0.8,0.3014117318898583
2024-08-05 03:55:00+00:00,transient,0.85,0.29485516826344443
2024-08-05 03:55:00+00:00,transient,0.9,0.2853109814759094
2024-08-05 03:55:00+00:00,transient,0.95,0.2727791715272532
2024-08-05 03:55:00+00:00,transient,1.0,0.2572597384174755
2024-08-05 03:56:00+00:00,transient,0.0,-0.0
2024-08-05 03:56:00+00:00,transient,0.05,-0.00014743242177698846
2024-08-05 03:56:00+00:00,transient,0.1,-0.000296357383762913
2024-08-05 03:56:00+00:00,transient,0.15,-0.0004467748859577404
2024-08-05 03:56:00+00:00,transient,0.2,-0.0005986849283614815
2024-08-05 03:56:00+00:00,transient,0.25,-0.0007617234107515081
2024-08-05 03:56:00+00:00,transient,0.3,-0.0009301087932613307
2024-08-05 03:56:00+00:00,transient,0.35,-0.0011038410758909935
2024-08-05 03:56:00+00:00,transient,0.4,-0.0012829202586404965
2024-08-05 03:56:00+00:00,transient,0.45,-0.001508487626696159
2024-08-05 03:56:00+00:00,transient,0.5,-0.0017485444026907326
2024-08-05 03:56:00+00:00,transient,0.55,-0.0020030905866244286
2024-08-05 03:56:00+00:00,transient,0.6,-0.0022721261784970142
2024-08-05 03:56:00+00:00,transient,0.65,-0.0027939053449461183
2024-08-05 03:56:00+00:00,transient,0.7,-0.003366828406509071
2024-08-05 03:56:00+00:00,transient,0.75,-0.00399089536318617
2024-08-05 03:56:00+00:00,transient,0.8,-0.004666106214977273
2024-08-05 03:56:00+00:00,transient,0.85,-0.03035253472294337
2024-08-05 03:56:00+00:00,transient,0.9,-0.059026586392030636
2024-08-05 03:56:00+00:00,transient,0.95,-0.09068826122223908
2024-08-05 03:56:00+00:00,transient,1.0,-0.12533755921356893
2024-08-05 03:57:00+00:00,transient,0.0,-0.0
2024-08-05 03:57:00+00:00,transient,0.05,-0.00014743242177698846
2024-08-05 03:57:00+00:00,transient,0.1,-0.000296357383762913
2024-08-05 03:57:00+00:00,transient,0.15,-0.0004467748859577404
2024-08-05 03:57:00+00:00,transient,0.2,-0.0005986849283614815
2024-08-05 03:57:00+00:00,transient,0.25,-0.0007617234107515081
2024-08-05 03:57:00+00:00,transient,0.3,-0.0009301087932613307
2024-08-05 03:57:00+00:00,transient,0.35,-0.0011038410758909935
2024-08-05 03:57:00+00:00,transient,0.4,-0.0012829202586404965
2024-08-05 03:57:00+00:00,transient,0.45,-0.001508487626696159
2024-08-05 03:57:00+00:00,transient,0.5,-0.0017485444026907326
2024-08-05 03:57:00+00:00,transient,0.55,-0.0020030905866244286
2024-08-05 03:57:00+00:00,transient,0.6,-0.0022721261784970142
2024-08-05 03:57:00+00:00,transient,0.65,-0.0027939053449461183
2024-08-05 03:57:00+00:00,transient,0.7,-0.003366828406509071
2024-08-05 03:57:00+00:00,transient,0.75,-0.00399089536318617
2024-08-05 03:57:00+00:00,transient,0.8,-0.004666106214977273
2024-08-05 03:57:00+00:00,transient,0.85,-0.03035253472294337
2024-08-05 03:57:00+00:00,transient,0.9,-0.059026586392030636
2024-08-05 03:57:00+00:00,transient,0.95,-0.09068826122223908
2024-08-05 03:57:00+00:00,transient,1.0,-0.12533755921356893
2024-08-05 03:58:00+00:00,transient,0.0,-0.0
2024-08-05 03:58:00+00:00,transient,0.05,-0.01927729730332921
2024-08-05 03:58:00+00:00,transient,0.1,-0.03855608714686736
2024-08-05 03:58:00+00:00,transient,0.15,-0.05783636953061441
2024-08-05 03:58:00+00:00,transient,0.2,-0.07711814445457038
2024-08-05 03:58:00+00:00,transient,0.25,-0.09641104781851262
2024-08-05 03:58:00+00:00,transient,0.3,-0.11570929808257469
2024-08-05 03:58:00+00:00,transient,0.35,-0.13501289524675655
2024-08-05 03:58:00+00:00,transient,0.4,-0.15432183931105828
2024-08-05 03:58:00+00:00,transient,0.45,-0.17367727156066617
2024-08-05 03:58:00+00:00,transient,0.5,-0.19304719321821295
2024-08-05 03:58:00+00:00,transient,0.55,-0.2124316042836989
2024-08-05 03:58:00+00:00,transient,0.6,-0.23183050475712372
2024-08-05 03:58:00+00:00,transient,0.65,-0.25148214880512504
2024-08-05 03:58:00+00:00,transient,0.7,-0.2711849367482402
2024-08-05 03:58:00+00:00,transient,0.75,-0.2909388685864695
2024-08-05 03:58:00+00:00,transient,0.8,-0.31074394431981284
2024-08-05 03:58:00+00:00,transient,0.85,-0.35556023770933115
2024-08-05 03:58:00+00:00,transient,0.9,-0.40336415425997063
2024-08-05 03:58:00+00:00,transient,0.95,-0.45415569397173133
2024-08-05 03:58:00+00:00,transient,1.0,-0.5079348568446134
2024-08-05 03:59:00+00:00,transient,0.0,-0.0
2024-08-05 03:59:00+00:00,transient,0.05,-0.01927729730332921
2024-08-05 03:59:00+00:00,transient,0.1,-0.03855608714686736
2024-08-05 03:59:00+00:00,transient,0.15,-0.05783636953061441
2024-08-05 03:59:00+00:00,transient,0.2,-0.07711814445457038
2024-08-05 03:59:00+00:00,transient,0.25,-0.09641104781851262
2024-08-05 03:59:00+00:00,transient,0.3,-0.11570929808257469
2024-08-05 03:59:00+00:00,transient,0.35,-0.13501289524675655
2024-08-05 03:59:00+00:00,transient,0.4,-0.15432183931105828
2024-08-05 03:59:00+00:00,transient,0.45,-0.17367727156066617
2024-08-05 03:59:00+00:00,transient,0.5,-0.19304719321821295
2024-08-05 03:59:00+00:00,transient,0.55,-0.2124316042836989
2024-08-05 03:59:00+00:00,transient,0.6,-0.23183050475712372
2024-08-05 03:59:00+00:00,transient,0.65,-0.25148214880512504
2024-08-05 03:59:00+00:00,transient,0.7,-0.2711849367482402
2024-08-05 03:59:00+00:00,transient,0.75,-0.2909388685864695
2024-08-05 03:59:00+00:00,transient,0.8,-0.31074394431981284
2024-08-05 03:59:00+00:00,transient,0.85,-0.35556023770933115
2024-08-05 03:59:00+00:00,transient,0.9,-0.40336415425997063
2024-08-05 03:59:00+00:00,transient,0.95,-0.45415569397173133
2024-08-05 03:59:00+00:00,transient,1.0,-0.5079348568446134
2024-08-05 04:00:00+00:00,transient,0.0,-0.0
2024-08-05 04:00:00+00:00,transient,0.05,-0.01927729730332921
2024-08-05 04:00:00+00:00,transient,0.1,-0.03855608714686736
2024-08-05 04:00:00+00:00,transient,0.15,-0.05783636953061441
2024-08-05 04:00:00+00:00,transient,0.2,-0.07711814445457038
2024-08-05 04:00:00+00:00,transient,0.25,-0.09641104781851262
2024-08-05 04:00:00+00:00,transient,0.3,-0.11570929808257469
2024-08-05 04:00:00+00:00,transient,0.35,-0.13501289524675655
2024-08-05 04:00:00+00:00,transient,0.4,-0.15432183931105828
2024-08-05 04:00:00+00:00,transient,0.45,-0.17367727156066617
2024-08-05 04:00:00+00:00,transient,0.5,-0.19304719321821295
2024-08-05 04:00:00+00:00,transient,0.55,-0.2124316042836989
2024-08-05 04:00:00+00:00,transient,0.6,-0.23183050475712372
2024-08-05 04:00:00+00:00,transient,0.65,-0.25148214880512504
2024-08-05 04:00:00+00:00,transient,0.7,-0.2711849367482402
2024-08-05 04:00:00+00:00,transient,0.75,-0.2909388685864695
2024-08-05 04:00:00+00:00,transient,0.8,-0.31074394431981284
2024-08-05 04:00:00+00:00,transient,0.85,-0.35556023770933115
2024-08-05 04:00:00+00:00,transient,0.9,-0.40336415425997063
2024-08-05 04:00:00+00:00,transient,0.95,-0.45415569397173133
2024-08-05 04:00:00+00:00,transient,1.0,-0.5079348568446134
2024-08-05 04:01:00+00:00,transient,0.0,-0.0
2024-08-05 04:01:00+00:00,transient,0.05,-0.01927729730332921
2024-08-05 04:01:00+00:00,transient,0.1,-0.03855608714686736
2024-08-05 04:01:00+00:00,transient,0.15,-0.05783636953061441
2024-08-05 04:01:00+00:00,transient,0.2,-0.07711814445457038
2024-08-05 04:01:00+00:00,transient,0.25,-0.09641104781851262
2024-08-05 04:01:00+00:00,transient,0.3,-0.11570929808257469
2024-08-05 04:01:00+00:00,transient,0.35,-0.13501289524675655
2024-08-05 04:01:00+00:00,transient,0.4,-0.15432183931105828
2024-08-05 04:01:00+00:00,transient,0.45,-0.17367727156066617
2024-08-05 04:01:00+00:00,transient,0.5,-0.19304719321821295
2024-08-05 04:01:00+00:00,transient,0.55,-0.2124316042836989
2024-08-05 04:01:00+00:00,transient,0.6,-0.23183050475712372
2024-08-05 04:01:00+00:00,transient,0.65,-0.25148214880512504
2024-08-05 04:01:00+00:00,transient,0.7,-0.2711849367482402
2024-08-05 04:01:00+00:00,transient,0.75,-0.2909388685864695
2024-08-05 04:01:00+00:00,transient,0.8,-0.31074394431981284
2024-08-05 04:01:00+00:00,transient,0.85,-0.35556023770933115
2024-08-05 04:01:00+00:00,transient,0.9,-0.40336415425997063
2024-08-05 04:01:00+00:00,transient,0.95,-0.45415569397173133
2024-08-05 04:01:00+00:00,transient,1.0,-0.5079348568446134
2024-08-05 04:02:00+00:00,transient,0.0,-0.0
2024-08-05 04:02:00+00:00,transient,0.05,-0.02278138044464228
2024-08-05 04:02:00+00:00,transient,0.1,-0.045564253429493495
2024-08-05 04:02:00+00:00,transient,0.15,-0.06834861895455363
2024-08-05 04:02:00+00:00,transient,0.2,-0.09113447701982265
2024-08-05 04:02:00+00:00,transient,0.25,-0.11393146352507796
2024-08-05 04:02:00+00:00,transient,0.3,-0.1367337969304531
2024-08-05 04:02:00+00:00,transient,0.35,-0.15954147723594805
2024-08-05 04:02:00+00:00,transient,0.4,-0.18235450444156284
2024-08-05 04:02:00+00:00,transient,0.45,-0.20521401983248377
2024-08-05 04:02:00+00:00,transient,0.5,-0.22808802463134364
2024-08-05 04:02:00+00:00,transient,0.55,-0.25097651883814265
2024-08-05 04:02:00+00:00,transient,0.6,-0.27387950245288056
2024-08-05 04:02:00+00:00,transient,0.65,-0.2970352296421949
2024-08-05 04:02:00+00:00,transient,0.7,-0.3202421007266232
2024-08-05 04:02:00+00:00,transient,0.75,-0.34350011570616557
2024-08-05 04:02:00+00:00,transient,0.8,-0.36680927458082196
2024-08-05 04:02:00+00:00,transient,0.85,-0.41512965111165334
2024-08-05 04:02:00+00:00,transient,0.9,-0.4664376508036059
2024-08-05 04:02:00+00:00,transient,0.95,-0.5207332736566797
2024-08-05 04:02:00+00:00,transient,1.0,-0.5780165196708748
2024-08-05 04:03:00+00:00,transient,0.0,-0.0
2024-08-05 04:03:00+00:00,transient,0.05,-0.03206433469396571
